Tarama Tarihi,Fon Kodu,Fon Adı,Son Fiyat
2025-07-24,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,
2025-07-24,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,
2025-07-24,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,
2025-07-24,AC4,PARDUS  PORTFÖY PARA PİYASASI (TL) FON,
2025-07-24,AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,
2025-07-24,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),
2025-07-24,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,
2025-07-24,ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,
2025-07-24,ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,
2025-07-24,AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AFA,AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,
2025-07-24,AFO,AK PORTFÖY ALTIN FONU,
2025-07-24,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,
2025-07-24,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,
2025-07-24,AFV,AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,
2025-07-24,AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),
2025-07-24,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,
2025-07-24,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,
2025-07-24,AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,
2025-07-24,AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,
2025-07-24,AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,
2025-07-24,AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,
2025-07-24,AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,
2025-07-24,AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,
2025-07-24,APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,
2025-07-24,APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,
2025-07-24,ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,
2025-07-24,ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,
2025-07-24,AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,
2025-07-24,AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,
2025-07-24,AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,
2025-07-24,BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,BHI,BV PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,
2025-07-24,BIS,BV PORTFÖY BİRİNCİ SERBEST FON,
